Listagem dos 50 maiores tomadores de recursos do BNDES;;;;
;;;;
Tomador de recursos;Total;Financiamentos;Renda Variável;
EMBRAER S.A.;12.240.137.284,37;12.240.137.284,37;0;
OI MOVEL S.A. - EM RECUPERACAO JUDICIAL;3.938.231.554,00;3.938.231.554,00;0;
FORD MOTOR COMPANY BRASIL LTDA;2.409.853.516,37;2.409.853.516,37;0;
TRANSPORTADORA GASENE S/A;2.162.563.800,00;2.162.563.800,00;0;
MERCEDES-BENZ DO BRASIL LTDA.;2.148.592.003,60;2.148.592.003,60;0;
OI S.A. - EM RECUPERACAO JUDICIAL;2.067.593.000,00;2.067.593.000,00;0;
KLABIN S.A.;1.915.088.031,00;1.915.088.031,00;0;
SUZANO S.A.;1.838.527.487,05;1.838.527.487,05;0;
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES;1.545.732.299,99;1.545.732.299,99;0;
FSTP BRASIL LTDA;1.462.340.642,87;1.462.340.642,87;0;
VERACEL CELULOSE S.A.;1.452.192.000,00;1.452.192.000,00;0;
TIM CELULAR S.A.;1.386.407.400,00;1.386.407.400,00;0;
SCANIA LATIN AMERICA LTDA;1.329.030.512,83;1.329.030.512,83;0;
COMPANHIA DE GAS DE SAO PAULO COMGAS;1.256.771.040,00;1.256.771.040,00;0;
GENERAL MOTORS DO BRASIL LTDA;1.226.041.499,98;1.226.041.499,98;0;
TINTO HOLDING LTDA;1.145.479.402,49;1.145.479.402,49;0;
GERDAU ACOMINAS S.A.;1.105.366.444,92;1.105.366.444,92;0;
BRASKEM S A;1.076.995.764,98;1.076.995.764,98;0;
JBS S/A;1.033.643.508,26;1.033.643.508,26;0;
CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A ELETRONORTE;931.000.000,00;931.000.000,00;0;
BRF S.A.;903.225.200,00;903.225.200,00;0;
PETROBRAS LOGISTICA DE EXPLORACAO E PRODUCAO S A;861.158.604,00;861.158.604,00;0;
FIBRIA CELULOSE S/A;836.408.483,00;836.408.483,00;0;
VALE S.A.;833.688.675,00;833.688.675,00;0;
TRANSPORTADORA URUCU MANAUS S.A.;800.000.000,00;800.000.000,00;0;
CONSTRUTORA NORBERTO ODEBRECHT S.A.;795.323.295,07;795.323.295,07;0;
CNH INDUSTRIAL BRASIL LTDA.;787.452.469,99;787.452.469,99;0;
USINA TERMELETRICA NORTE FLUMINENSE S/A;750.000.000,00;750.000.000,00;0;
ARCELORMITTAL BRASIL S.A.;722.014.897,30;722.014.897,30;0;
ENERPEIXE S/A;670.000.000,00;670.000.000,00;0;
COMPANHIA BRASILEIRA DE ALUMINIO;649.705.132,86;649.705.132,86;0;
CATERPILLAR BRASIL LTDA;605.650.199,94;605.650.199,94;0;
INDUSTRIAS ROMI S A;602.694.793,75;602.694.793,75;0;
WEG EXPORTADORA S/A;590.528.200,00;590.528.200,00;0;
BRASKEM QPAR S/A;585.494.000,00;585.494.000,00;0;
AMBEV S.A.;582.194.273,64;582.194.273,64;0;
AMPLA ENERGIA E SERVICOS S.A.;559.343.715,11;559.343.715,11;0;
NOVATRANS ENERGIA S/A;550.565.000,00;550.565.000,00;0;
FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.;534.372.465,73;534.372.465,73;0;
ITUMBIARA TRANSMISSORA DE ENERGIA S/A;489.580.000,00;489.580.000,00;0;
VENTOS DO SUL ENERGIA S/A;465.000.000,00;465.000.000,00;0;
VARD NITEROI S.A.;461.607.051,00;461.607.051,00;0;
MARCOPOLO SA;458.749.615,78;458.749.615,78;0;
ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A;445.405.492,00;445.405.492,00;0;
CERAN - COMPANHIA ENERGETICA RIO DAS ANTAS;435.805.318,00;435.805.318,00;0;
ELETROSUL CENTRAIS ELETRICAS S/A;399.075.382,00;399.075.382,00;0;
LG ELECTRONICS DO BRASIL LTDA;397.482.637,86;397.482.637,86;0;
COMPANHIA ENERGETICA DE PERNAMBUCO;385.583.317,00;385.583.317,00;0;
PRENSAS SCHULER SA;379.750.811,08;379.750.811,08;0;
GERDAU ACOS LONGOS S.A.;376.086.453,08;376.086.453,08;0;
