Empresas;Total
EMBRAER S.A.;15020371730,56
PETROBRAS NETHERLANDS B V;9877869968,00
ESTADO DE SAO PAULO;7877200000,00
VALE S.A.;6272980955,50
PORTO DO ACU OPERACOES S.A.;6194006000,00
ESTADO DO RIO DE JANEIRO;6031405000,00
TIM CELULAR S.A.;5763935000,00
CONSTRUTORA NORBERTO ODEBRECHT S.A.;5684658944,52
KLABIN S.A.;5018833592,00
FINANCIADORA DE ESTUDOS E PROJETOS - FINEP;5000000000,00
PETROLEO BRASILEIRO S A PETROBRAS;4410544552,00
ESTADO DO MARANHAO;3801000000,00
CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE GUARULHOS;3578803316,00
CAMARA DE COMERCIALIZACAO DE ENERGIA ELETRICA - CCEE;3378879737,00
ESTADO DE SANTA CATARINA;3010000000,00
MUNICIPIO DE RIO DE JANEIRO;2715389458,00
ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A;2650000000,00
BRASKEM S A;2633800000,00
ESTADO DO CEARA                              (07954480);2533899811,00
CENTRAIS ELETRICAS BRASILEIRAS SA;2500000000,00
CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;2476763881,00
AEROPORTOS BRASIL - VIRACOPOS S.A. EM RECUPERACAO JUDIC;2432976721,00
COMPANHIA DO METRO DA BAHIA;2420445600,00
CSP - COMPANHIA SIDERURGICA DO PECEM;2320300000,00
FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.;2243054999,98
SANTO ANTONIO ENERGIA S.A.;2100426815,00
ODEBRECHT ENERGIA PARTICIPACOES S/A;2044050217,00
CAIXA ECONOMICA FEDERAL;2000000000,00
VALLOUREC TUBOS DO BRASIL S.A.;1980000000,00
VLI MULTIMODAL S.A.;1823196210,04
SUPERVIA - CONCESSIONARIA DE TRANSPORTE FERROVIARIO S/A;1635927000,00
CNH INDUSTRIAL BRASIL LTDA.;1589991953,44
COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA;1534101000,00
CONCESSIONARIA SPMAR S.A.;1528225543,00
ESTADO DA BAHIA;1487691273,00
ESTADO DO AMAPA;1436187022,00
SUZANO S.A.;1435975844,20
INFRAMERICA CONCESSIONARIA DO AEROPORTO DE BRASILIA S/A;1429978152,00
CENTRAIS ELETRICAS DO PARA S.A. - CELPA;1361264094,00
ANDRADE GUTIERREZ ENGENHARIA S/A;1295476931,73
RUMO MALHA SUL S.A;1263886000,00
ULTRAFERTIL SA;1238783028,00
RANDON SA IMPLEMENTOS E PARTICIPACOES;1204805819,31
COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO;1203014000,00
AES TIETE EOLICA S.A;1119206385,00
COPEL GERACAO E TRANSMISSAO S.A.;1114647584,00
CONCESSIONARIA AEROPORTO RIO DE JANEIRO S.A.;1106000000,00
ENERGISA S.A.;1044414787,00
CBC INDUSTRIAS PESADAS S A;1036150508,75
WEG EQUIPAMENTOS ELETRICOS S/A;1032277312,07
