Listagem dos 50 maiores tomadores de recursos do BNDES;;;;;;;
;;;;;;;
Tomador de recursos;Total;Financiamentos;Renda Variável;;;;
EMBRAER S.A.;8.042.751.495,59;8.042.751.495,59;0;;;;
XINGU RIO TRANSMISSORA DE ENERGIA S.A.;5.213.550.000,00;5.213.550.000,00;0;;;;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;5.040.000.000,00;5.040.000.000,00;0;;;;
VIAPAULISTA S.A.;3.645.385.000,00;3.645.385.000,00;0;;;;
SUZANO S.A.;3.599.333.000,00;3.599.333.000,00;0;;;;
BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.;3.278.396.000,00;3.278.396.000,00;0;;;;
RUMO MALHA NORTE S.A;2.428.804.572,00;2.428.804.572,00;0;;;;
CONCESSIONARIA DE RODOVIA SUL - MATOGROSSENSE S.A;2.319.915.000,00;2.319.915.000,00;0;;;;
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES;1.929.086.144,00;1.929.086.144,00;0;;;;
LOGUM LOGISTICA S A;1.810.696.000,00;1.810.696.000,00;0;;;;
FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.;1.777.101.100,00;1.777.101.100,00;0;;;;
UTE GNA I GERACAO DE ENERGIA S.A.;1.762.800.000,00;1.762.800.000,00;0;;;;
MUNICIPIO DE RIO DE JANEIRO;1.645.239.999,00;1.645.239.999,00;0;;;;
CONCESSIONARIA AEROPORTO RIO DE JANEIRO S.A.;1.619.999.999,00;1.619.999.999,00;0;;;;
ARGO TRANSMISSAO DE ENERGIA S.A.;1.543.357.000,00;1.543.357.000,00;0;;;;
TIM CELULAR S.A.;1.500.000.000,00;1.500.000.000,00;0;;;;
LOJAS AMERICANAS S.A.;1.490.640.000,00;1.490.640.000,00;0;;;;
COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA;1.422.812.746,00;1.422.812.746,00;0;;;;
CENTRAIS ELETRICAS DO PARA S.A. - CELPA;1.341.576.000,00;1.341.576.000,00;0;;;;
EMPRESA DE ENERGIA SAO MANOEL S.A.;1.314.000.000,00;1.314.000.000,00;0;;;;
VLI MULTIMODAL S.A.;1.254.403.038,00;1.254.403.038,00;0;;;;
FRAPORT BRASIL S.A AEROPORTO DE PORTO ALEGRE;1.250.054.000,00;1.250.054.000,00;0;;;;
COMPANHIA ENERGETICA DO MARANHAO;1.219.310.000,00;1.219.310.000,00;0;;;;
LIGHT SERVICOS DE ELETRICIDADE S A;1.074.708.774,00;1.074.708.774,00;0;;;;
GE ENERGIAS RENOVAVEIS LTDA.;1.071.078.976,44;1.071.078.976,44;0;;;;
COMPANHIA ENERGETICA SINOP SA;1.046.000.000,00;1.046.000.000,00;0;;;;
RENAULT DO BRASIL S.A;1.040.629.750,00;1.040.629.750,00;0;;;;
COMPANHIA DO METRO DA BAHIA;1.040.152.614,00;1.040.152.614,00;0;;;;
MATA DE SANTA GENEBRA TRANSMISSAO S.A.;1.018.500.000,00;1.018.500.000,00;0;;;;
COMPANHIA PAULISTA DE FORCA E LUZ;953.392.000,00;953.392.000,00;0;;;;
PARANAITA RIBEIRAOZINHO TRANSMISSORA DE ENERGIA S.A.;922.672.768,00;922.672.768,00;0;;;;
PETROBRAS TRANSPORTE S.A - TRANSPETRO;915.532.862,00;915.532.862,00;0;;;;
B2W  COMPANHIA DIGITAL;913.736.000,00;913.736.000,00;0;;;;
WEG EQUIPAMENTOS ELETRICOS S/A;912.190.000,00;912.190.000,00;0;;;;
ECO101 CONCESSIONARIA DE RODOVIAS S/A;882.144.000,00;882.144.000,00;0;;;;
COMPANHIA ENERGETICA DE PERNAMBUCO;858.142.443,00;858.142.443,00;0;;;;
TRANSMISSORA JOSE MARIA DE MACEDO DE ELETRICIDADE S.A.;814.064.000,00;814.064.000,00;0;;;;
ELEKTRO REDES S.A.;785.113.000,00;785.113.000,00;0;;;;
AUTOPISTA REGIS BITTENCOURT S/A;775.346.000,00;775.346.000,00;0;;;;
CLARO S.A.;770.568.376,32;770.568.376,32;0;;;;
USINA TERMELETRICA PAMPA SUL S/A;728.950.000,00;728.950.000,00;0;;;;
SCANIA LATIN AMERICA LTDA;723.440.744,96;723.440.744,96;0;;;;
RUMO MALHA SUL S.A;672.600.044,00;672.600.044,00;0;;;;
COAMO AGROINDUSTRIAL COOPERATIVA;635.232.341,00;635.232.341,00;0;;;;
CUTIA EMPREENDIMENTOS EOLICOS S/A;619.405.000,00;619.405.000,00;0;;;;
GERACAO CEU AZUL S.A.;600.000.000,00;600.000.000,00;0;;;;
FORD MOTOR COMPANY BRASIL LTDA;596.878.570,00;596.878.570,00;0;;;;
RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;582.453.000,00;582.453.000,00;0;;;;
TEREOS ACUCAR E ENERGIA BRASIL S.A.;575.155.160,00;575.155.160,00;0;;;;
RIO GRANDE ENERGIA SA;550.571.000,00;550.571.000,00;0;;;;
