Empresas;Total
PETROLEO BRASILEIRO S A PETROBRAS;62429487199 59
EMBRAER S.A.;49377315046 16
NORTE ENERGIA S/A;25387812308 00
VALE S.A.;23322611068 82
CONSTRUTORA NORBERTO ODEBRECHT S.A.;16485722342 05
ESTADO DE SAO PAULO;14483810163 00
TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG;13302144494 00
SUZANO PAPEL E CELULOSE S.A.;12310916021 61
TIM CELULAR S.A.;12142315400 00
TELEFONICA BRASIL S.A.;10265088383 93
FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA.;10028285892 46
PETROBRAS NETHERLANDS B V;9877869968 00
OI MOVEL S.A. - EM RECUPERACAO JUDICIAL;9828307923 00
ENERGIA SUSTENTAVEL DO BRASIL S.A.;9420000000 00
KLABIN S.A.;9039094562 98
CAIXA ECONOMICA FEDERAL;8718841893 00
SANTO ANTONIO ENERGIA S.A.;8235599214 00
FINANCIADORA DE ESTUDOS E PROJETOS - FINEP;8000000000 00
BRASKEM S A;7893077938 18
ESTADO DO RIO DE JANEIRO;7694631799 36
JBS S.A.;7661550695 36
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;7254347892 94
BANCO DO BRASIL S.A.;7244692185 26
PORTO DO ACU OPERACOES S.A.;6712593322 00
ELETROBRAS TERMONUCLEAR S.A. - ELETRONUCLEAR;6181227520 00
PETROBRAS TRANSPORTE S.A - TRANSPETRO;6063718852 00
MERCEDES-BENZ DO BRASIL LTDA.;5907241715 95
CNH INDUSTRIAL BRASIL LTDA.;5849768638 77
MUNICIPIO DE RIO DE JANEIRO;5622430117 00
WEG EQUIPAMENTOS ELETRICOS S/A;5537411520 17
FORD MOTOR COMPANY BRASIL LTDA;5512052854 49
ANDRADE GUTIERREZ ENGENHARIA S/A;5323292391 79
VOLKSWAGEN DO BRASIL INDUSTRIA DE VEICULOS AUTOMOTORES;5241436961 00
XINGU RIO TRANSMISSORA DE ENERGIA S.A.;5213550000 00
ESTALEIRO ATLANTICO SUL SA;5075045633 44
ANGLO AMERICAN MINERIO DE FERRO BRASIL S/A;4973119400 00
ESTADO DO CEARA                              (07954480);4917586520 00
AMBEV S.A.;4896871187 39
CONCESSIONARIA DO AEROPORTO INTERNACIONAL DE GUARULHOS;4778803316 00
BRF - BRASIL FOODS S.A.;4640065076 99
OI S.A.;4622368431 00
ESTADO DO MARANHAO;4602790865 00
COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA - COELBA;4387508979 00
FIBRIA CELULOSE S.A.;4258572017 34
ESTADO DO ESPIRITO SANTO;4119370001 00
CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;4060234035 00
MARFRIG GLOBAL FOODS S.A.;4058400250 18
RUMO MALHA NORTE S.A;4005327773 11
MRS LOGISTICA S.A;3985488471 99
RENAULT DO BRASIL S.A;3978501210 27
